Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F)
TIDE,WAVE,YES,152,21,0.138,0,0.0102,16,9,0.342,11,13,5,0.194,46
TIDY,BOWL,YES,148,5,0.034,0,0,7,6,0.872,1,22,22,0.85,23
TIDY,CLEAN,YES,148,46,0.311,0.027,0.1054,7,2,0.048,1,13,7,0.657,70
TIDY,MESSY,YES,148,8,0.054,0,0.1119,7,3,0.068,1,17,11,0.33,3
TIDY,MOM,YES,148,2,0.014,0,0,7,6,0.892,1,5,5,0.87,3
TIDY,NEAT,YES,148,64,0.432,0.114,0.0251,7,3,0.068,1,12,7,0.22,21
TIDY,ROOM,YES,148,6,0.041,0,0.0301,7,3,0.068,1,22,21,0.781,383
TIDY,UP,YES,148,3,0.02,0,0.0043,7,5,0.575,1,5,5,0.947,1895
TIE,BOW,YES,148,15,0.101,0.124,0,17,13,0.582,23,12,7,0.552,15
TIE,CHOKE,YES,148,2,0.014,0,0,17,12,0.541,23,16,11,0.671,9
TIE,CLIP,NO,148,5,0.034,0,0,17,14,0.683,23,0,0,0,0
TIE,COAT,YES,148,4,0.027,0.027,0.0109,17,11,0.568,23,17,14,0.651,43
TIE,COLLAR,YES,148,3,0.02,0.022,0.007,17,11,0.461,23,14,11,0.462,17
TIE,DYE,NO,148,5,0.034,0,0,17,14,0.683,23,0,0,0,0
TIE,JACKET,YES,148,2,0.014,0.032,0.0082,17,10,0.494,23,15,9,0.276,33
TIE,KNOT,YES,148,14,0.095,0.339,0,17,13,0.588,23,8,6,0.552,8
TIE,MAN,YES,148,3,0.02,0,0.0055,17,12,0.589,23,9,9,0.851,1207
TIE,NECK,YES,148,19,0.128,0.079,0.0012,17,10,0.447,23,19,15,0.713,81
TIE,SHIRT,YES,148,11,0.074,0.103,0.0108,17,8,0.359,23,17,13,0.757,27
TIE,SHOE,YES,148,11,0.074,0.013,0,17,13,0.609,23,14,13,0.949,14
TIE,SILK,YES,148,2,0.014,0,0,17,12,0.595,23,18,17,0.834,12
TIE,SUIT,YES,148,11,0.074,0.176,0.0002,17,9,0.474,23,21,14,0.394,48
TIE,TACK,YES,148,2,0.014,0,0,17,13,0.669,23,12,12,0.733,4
TIE,UGLY,YES,148,2,0.014,0,0,17,13,0.669,23,14,10,0.566,21
TIE,UNTIE,NO,148,3,0.02,0,0,17,14,0.683,23,0,0,0,0
TIGER,ANIMAL,YES,143,4,0.028,0,0.0256,15,9,0.231,7,28,24,0.636,68
TIGER,BEAUTIFUL,YES,143,2,0.014,0,0.0006,15,13,0.721,7,8,8,0.793,127
TIGER,CAGE,YES,143,2,0.014,0,0.0003,15,12,0.427,7,18,13,0.518,9
TIGER,CAT,YES,143,22,0.154,0,0.0414,15,10,0.196,7,3,2,0.769,23
TIGER,DANGER,YES,143,2,0.014,0,0,15,14,0.763,7,23,22,0.678,70
TIGER,EYE,YES,143,2,0.014,0,0,15,14,0.763,7,13,11,0.874,122
TIGER,JUNGLE,YES,143,3,0.021,0,0,15,12,0.42,7,21,19,0.739,20
TIGER,KITTEN,YES,143,2,0.014,0,0.0246,15,13,0.609,7,6,4,0.122,5
TIGER,LILY,YES,143,6,0.042,0,0,15,12,0.707,7,11,9,0.853,1
TIGER,LION,YES,143,44,0.308,0.362,0.0147,15,9,0.231,7,15,8,0.221,17
TIGER,MEAN,YES,143,3,0.021,0,0,15,14,0.756,7,18,17,0.706,199
TIGER,ORANGE,YES,143,3,0.021,0,0,15,14,0.756,7,14,13,0.838,23
TIGER,ROAR,YES,143,3,0.021,0.039,0.0099,15,12,0.42,7,11,8,0.216,13
TIGER,STRIPE,YES,143,11,0.077,0.034,0,15,13,0.546,7,23,20,0.67,4
TIGER,WHITE,YES,143,2,0.014,0,0.0029,15,13,0.721,7,8,8,0.874,365
TIGHT,CLOSE,YES,140,3,0.021,0,0,13,11,0.786,28,9,9,0.856,234
TIGHT,CLOTHES,YES,140,2,0.014,0,0.022,13,7,0.207,28,26,22,0.656,89
TIGHT,CONFINE,NO,140,2,0.014,0,0,13,12,0.807,28,0,0,0,0
TIGHT,FIT,YES,140,9,0.064,0.076,0.0126,13,9,0.293,28,21,17,0.471,75
TIGHT,GRIP,YES,140,2,0.014,0.13,0.0017,13,10,0.714,28,16,15,0.688,20
TIGHT,JEANS,YES,140,8,0.057,0.034,0.0041,13,9,0.707,28,13,8,0.446,1
TIGHT,LOOSE,YES,140,61,0.436,0.565,0,13,9,0.293,28,7,3,0.1,53
TIGHT,PAIN,YES,140,3,0.021,0,0.0046,13,9,0.678,28,13,12,0.782,88
TIGHT,PANTS,YES,140,4,0.029,0.054,0.0217,13,9,0.707,28,22,18,0.643,9
TIGHT,ROPE,YES,140,4,0.029,0,0,13,11,0.778,28,21,19,0.695,15
TIGHT,SMALL,YES,140,2,0.014,0,0,13,11,0.793,28,9,8,0.859,542
TIGHT,SQUEEZE,YES,140,11,0.079,0.055,0,13,9,0.693,28,21,16,0.699,11
TIGHT,UNCOMFORTABLE,YES,140,4,0.029,0.02,0,13,10,0.757,28,19,16,0.439,13
TILE,BATHROOM,YES,147,10,0.068,0.022,0.0003,9,6,0.702,16,14,13,0.826,18
TILE,CARPET,YES,147,2,0.014,0.014,0.0428,9,6,0.198,16,17,14,0.663,13
TILE,CERAMIC,YES,147,10,0.068,0.157,0,9,7,0.722,16,13,11,0.62,9
TILE,COLD,YES,147,2,0.014,0,0.0002,9,6,0.762,16,19,18,0.844,171
TILE,FLOOR,YES,147,85,0.578,0.17,0.0046,9,4,0.164,16,12,10,0.521,158
TILE,KITCHEN,YES,147,3,0.02,0,0,9,5,0.124,16,22,18,0.819,90
TILE,LINOLEUM,NO,147,3,0.02,0,0,9,8,0.79,16,0,0,0,0
TILE,MARBLE,YES,147,2,0.014,0.041,0,9,4,0.17,16,22,16,0.552,21
TILE,WHITE,YES,147,2,0.014,0,0.0002,9,6,0.762,16,8,8,0.874,365
TILL,CASH,YES,148,2,0.014,0,0.0345,23,17,0.321,50,4,3,0.077,36
TILL,DIRT,YES,148,2,0.014,0,0.025,23,15,0.375,50,18,15,0.766,43
TILL,DRAWER,YES,148,2,0.014,0,0,23,19,0.476,50,9,9,0.806,8
TILL,GARDEN,YES,148,4,0.027,0,0.0003,23,17,0.429,50,14,12,0.905,60
TILL,GROUND,YES,148,4,0.027,0,0.0016,23,16,0.408,50,14,12,0.679,186
TILL,LAND,YES,148,2,0.014,0,0.0003,23,15,0.388,50,25,22,0.61,217
TILL,LATER,NO,148,6,0.041,0,0,23,20,0.49,50,0,0,0,0
TILL,LIQUOR,YES,148,2,0.014,0,0,23,19,0.476,50,18,17,0.794,43
TILL,MONEY,YES,148,19,0.128,0,0.0168,23,15,0.28,50,19,16,0.506,265
TILL,PAN,YES,148,2,0.014,0,0,23,18,0.462,50,13,11,0.845,16
TILL,PLOW,YES,148,3,0.02,0,0,23,15,0.388,50,17,13,0.686,12
TILL,REGISTER,YES,148,4,0.027,0,0,23,17,0.321,50,17,10,0.231,26
TILL,SOIL,YES,148,4,0.027,0,0.0021,23,16,0.408,50,6,4,0.181,54
TILL,STILL,YES,148,2,0.014,0,0.0004,23,17,0.435,50,16,14,0.774,782
TILL,STIR,YES,148,2,0.014,0,0,23,19,0.476,50,14,14,0.824,7
TILL,THEN,NO,148,5,0.034,0,0,23,20,0.49,50,0,0,0,0
TILL,TIME,YES,148,2,0.014,0,0.003,23,16,0.301,50,14,13,0.835,1599
TILL,TOMORROW,YES,148,3,0.02,0,0,23,19,0.47,50,9,8,0.863,63
TILL,UNTIL,NO,148,6,0.041,0,0,23,20,0.49,50,0,0,0,0
TILL,WAIT,YES,148,4,0.027,0,0,23,17,0.435,50,19,17,0.721,94
TILL,WATER,YES,148,2,0.014,0,0.0025,23,16,0.434,50,18,18,0.722,442
TILL,WHEN,YES,148,3,0.02,0,0,23,18,0.456,50,9,7,0.809,2331
TILL,WORK,YES,148,4,0.027,0,0.0036,23,17,0.315,50,19,18,0.68,760
TIMBER,BARK,YES,156,3,0.019,0,0.0125,8,5,0.243,19,5,4,0.701,14
TIMBER,FALL,YES,156,5,0.032,0,0,8,7,0.922,19,17,17,0.835,147
TIMBER,FOREST,YES,156,13,0.083,0.026,0.0221,8,4,0.166,19,9,7,0.257,66
TIMBER,LAKE,YES,156,2,0.013,0,0,8,6,0.858,19,15,13,0.803,54
TIMBER,LOG,YES,156,3,0.019,0,0.0123,8,5,0.243,19,9,7,0.514,11
TIMBER,LUMBER,YES,156,15,0.096,0,0,8,5,0.166,19,8,6,0.191,35
TIMBER,TREE,YES,156,44,0.282,0,0.1305,8,2,0.045,19,21,19,0.768,59
TIMBER,WOOD,YES,156,64,0.41,0,0.0625,8,2,0.045,19,26,22,0.651,55
TIME,CLOCK,YES,156,58,0.372,0.652,0.02,14,10,0.252,1599,7,5,0.23,20
TIME,DAY,YES,156,7,0.045,0.022,0.0039,14,12,0.752,1599,6,5,0.899,686
TIME,FLY,YES,156,2,0.013,0,0,14,13,0.835,1599,19,19,0.753,33
TIME,HOUR,YES,156,8,0.051,0.186,0.0119,14,10,0.335,1599,8,4,0.173,144
TIME,HURRY,YES,156,2,0.013,0,0,14,12,0.822,1599,9,7,0.83,36
TIME,LATE,YES,156,3,0.019,0.014,0,14,12,0.457,1599,11,9,0.813,179
TIME,LIFE,YES,156,2,0.013,0.018,0,14,13,0.835,1599,11,10,0.835,715
TIME,MINUTE,YES,156,7,0.045,0.17,0.0239,14,11,0.598,1599,7,4,0.443,53
TIME,MONEY,YES,156,2,0.013,0,0,14,13,0.835,1599,19,18,0.744,265
TIME,OUT,YES,156,9,0.058,0,0.0019,14,12,0.636,1599,6,5,0.873,2096
TIME,SCHEDULE,YES,156,2,0.013,0.2,0,14,13,0.835,1599,15,12,0.547,36
TIME,SLOW,YES,156,2,0.013,0,0.0007,14,12,0.822,1599,11,10,0.84,60
TIME,SPACE,YES,156,4,0.026,0.03,0,14,13,0.822,1599,25,21,0.674,184
TIME,WATCH,YES,156,24,0.154,0.37,0.0323,14,10,0.219,1599,14,11,0.411,81
TIMES,CHANGE,YES,148,3,0.02,0,0,17,13,0.624,1599,15,12,0.599,240
TIMES,CLOCK,YES,148,22,0.149,0,0.0024,17,13,0.543,1599,7,6,0.882,20
TIMES,DATES,NO,148,2,0.014,0,0,17,15,0.712,1599,0,0,0,0
TIMES,DAYS,YES,148,4,0.027,0,0.0024,17,13,0.671,1599,12,7,0.145,15
TIMES,GOOD,YES,148,10,0.068,0,0.001,17,12,0.59,1599,8,8,0.89,807
TIMES,HOURS,YES,148,2,0.014,0,0.0003,17,13,0.671,1599,15,12,0.652,175
TIMES,MAGAZINE,YES,148,7,0.047,0,0.0137,17,12,0.509,1599,13,7,0.589,39
TIMES,MEMORIES,YES,148,5,0.034,0,0,17,13,0.61,1599,22,12,0.412,15
TIMES,MULTIPLY,YES,148,6,0.041,0.068,0,17,14,0.671,1599,11,10,0.859,10
TIMES,NEW YORK,YES,148,10,0.068,0,0,17,14,0.644,1599,15,12,0.581,1
TIMES,NEWS,YES,148,4,0.027,0,0.0131,17,12,0.529,1599,20,15,0.463,102
TIMES,NEWSPAPER,YES,148,18,0.122,0.01,0.0032,17,11,0.482,1599,23,16,0.541,65
TIMES,PAPER,YES,148,5,0.034,0,0.0102,17,11,0.482,1599,15,14,0.855,157
TIMES,SQUARE,YES,148,4,0.027,0,0,17,14,0.685,1599,13,12,0.833,143
TIMES,ST. PETERSBURG,NO,148,2,0.014,0,0,17,15,0.712,1599,0,0,0,0
TIMES,WATCH,YES,148,3,0.02,0,0.0127,17,13,0.543,1599,14,13,0.793,81
TIMES,ZONE,YES,148,2,0.014,0,0,17,14,0.698,1599,20,19,0.697,11
TIMID,AFRAID,YES,151,3,0.02,0,0.0213,8,3,0.053,5,9,7,0.73,57
TIMID,CALM,YES,151,3,0.02,0,0,8,6,0.828,5,14,12,0.524,35
TIMID,FATIGUE,YES,151,2,0.013,0,0,8,6,0.828,5,6,5,0.843,11
TIMID,FEAR,YES,151,2,0.013,0,0.007,8,5,0.755,5,17,13,0.294,127
TIMID,QUIET,YES,151,2,0.013,0,0.1506,8,4,0.119,5,12,9,0.826,76
TIMID,SCARED,YES,151,11,0.073,0.014,0.0335,8,4,0.066,5,12,8,0.468,21
TIMID,SHY,YES,151,104,0.689,0.104,0.0006,8,4,0.066,5,16,10,0.39,13
TIMID,WEAK,YES,151,3,0.02,0,0.0002,8,6,0.828,5,11,11,0.777,32
TIN,ALUMINUM,YES,147,7,0.048,0.082,0.0514,13,8,0.184,12,8,3,0.157,18
TIN,BOX,YES,147,3,0.02,0,0.0023,13,11,0.831,12,15,14,0.652,70
TIN,CAN,YES,147,74,0.503,0.068,0.0158,13,9,0.286,12,20,16,0.644,1772
TIN,CONTAINER,YES,147,5,0.034,0,0.0012,13,9,0.314,12,20,15,0.711,10
TIN,COOKIE,YES,147,3,0.02,0,0,13,12,0.865,12,17,17,0.934,1
TIN,CUP,YES,147,2,0.014,0,0.0112,13,10,0.334,12,10,10,0.944,45
TIN,FOIL,YES,147,4,0.027,0.176,0.0079,13,9,0.687,12,12,6,0.235,20
TIN,MACHINE,YES,147,2,0.014,0,0,13,12,0.871,12,17,15,0.65,103
TIN,MAN,YES,147,5,0.034,0,0,13,12,0.851,12,9,9,0.851,1207
TIN,METAL,YES,147,16,0.109,0.013,0.0056,13,9,0.687,12,16,13,0.636,61
TIN,PAN,YES,147,2,0.014,0,0,13,12,0.871,12,13,12,0.859,16
TIN,ROOF,YES,147,5,0.034,0.016,0,13,12,0.851,12,9,8,0.89,59
TIN,SILVER,YES,147,2,0.014,0,0.0092,13,9,0.687,12,14,14,0.869,29
TINY,BIG,YES,140,16,0.114,0,0.257,8,0,0,50,9,5,0.088,360
TINY,HUGE,YES,140,2,0.014,0.015,0.003,8,1,0.05,50,7,3,0.059,54
TINY,LARGE,YES,140,4,0.029,0,0.1257,8,0,0,50,6,3,0.087,361
TINY,LITTLE,YES,140,7,0.05,0.074,0.0672,8,1,0.014,50,7,3,0.054,831
TINY,MINISCULE,NO,140,4,0.029,0,0,8,5,0.857,50,0,0,0,0
TINY,SMALL,YES,140,91,0.65,0.088,0.1122,8,0,0,50,9,4,0.163,542
TINY,TEENY,NO,140,2,0.014,0,0,8,5,0.857,50,0,0,0,0
TINY,TIM,NO,140,2,0.014,0,0,8,5,0.857,50,0,0,0,0
TIP,ADVICE,YES,152,2,0.013,0,0,21,18,0.721,22,20,19,0.707,51
TIP,CLUE,YES,152,3,0.019,0,0,21,18,0.715,22,15,14,0.844,15
TIP,END,YES,152,2,0.013,0,0.0005,21,17,0.676,22,8,7,0.858,410
TIP,FALL,YES,152,2,0.013,0,0,21,18,0.721,22,17,17,0.835,147
TIP,FINGER,YES,152,2,0.013,0.02,0.0051,21,15,0.631,22,12,8,0.636,40
TIP,GRATUITY,NO,152,2,0.013,0,0,21,19,0.734,22,0,0,0,0
TIP,HELPFUL,YES,152,2,0.013,0,0,21,18,0.721,22,22,15,0.61,29
TIP,ICEBERG,YES,152,2,0.013,0.027,0,21,18,0.721,22,16,8,0.611,0
TIP,MONEY,YES,152,39,0.257,0,0.0015,21,17,0.432,22,19,18,0.744,265
TIP,NAIL,YES,152,3,0.019,0,0.0041,21,16,0.676,22,6,5,0.782,6
TIP,OVER,YES,152,3,0.019,0,0,21,17,0.618,22,11,10,0.809,1236
TIP,PENCIL,YES,152,2,0.013,0,0.0033,21,17,0.676,22,9,7,0.861,34
TIP,POINT,YES,152,7,0.045,0.018,0.0013,21,15,0.65,22,24,19,0.659,395
TIP,Q-TIP,NO,152,5,0.032,0,0,21,19,0.734,22,0,0,0,0
TIP,RESTAURANT,YES,152,3,0.019,0,0.0171,21,16,0.599,22,12,12,0.838,41
TIP,SERVICE,YES,152,2,0.013,0,0.001,21,17,0.65,22,13,13,0.752,315
TIP,TOE,YES,152,4,0.026,0,0.0012,21,16,0.676,22,7,5,0.728,9
TIP,TONGUE,YES,152,2,0.013,0,0,21,18,0.721,22,13,12,0.837,35
TIP,TOP,YES,152,15,0.097,0,0.0008,21,17,0.618,22,11,11,0.894,204
TIP,WAITER,YES,152,11,0.071,0.041,0.0104,21,15,0.586,22,12,7,0.327,10
TIP,WAITRESS,YES,152,7,0.045,0.099,0.0221,21,15,0.342,22,14,9,0.316,2
TIRE,BLACK,YES,145,4,0.028,0,0,10,9,0.827,22,10,10,0.877,203
TIRE,CAR,YES,145,58,0.4,0.011,0.0437,10,6,0.269,22,25,19,0.654,274
TIRE,FLAT,YES,145,17,0.117,0.15,0,10,9,0.738,22,19,18,0.606,67
TIRE,PRESSURE,YES,145,5,0.034,0.034,0,10,9,0.821,22,21,19,0.734,185
TIRE,RIM,YES,145,5,0.034,0.167,0,10,7,0.283,22,20,16,0.585,5
TIRE,RUBBER,YES,145,9,0.062,0.095,0,10,9,0.793,22,20,17,0.706,15
TIRE,SLEEP,YES,145,2,0.014,0,0,10,9,0.841,22,10,10,0.856,65
TIRE,TRUCK,YES,145,2,0.014,0.034,0.0444,10,7,0.303,22,17,12,0.469,57
TIRE,WEARY,YES,145,2,0.014,0,0,10,9,0.841,22,11,10,0.796,17
TIRE,WHEEL,YES,145,20,0.138,0.126,0.0104,10,6,0.269,22,14,10,0.434,56
TIRED,ASLEEP,YES,146,2,0.014,0.129,0.021,14,10,0.241,48,15,10,0.313,27
TIRED,AWAKE,YES,146,5,0.034,0.042,0.0737,14,11,0.282,48,9,7,0.244,20
TIRED,BEAT,YES,146,2,0.014,0,0,14,13,0.795,48,17,16,0.784,68
TIRED,BED,YES,146,6,0.041,0.016,0.0459,14,9,0.186,48,11,9,0.213,127
TIRED,BORED,YES,146,5,0.034,0.386,0.0005,14,10,0.268,48,16,12,0.339,14
TIRED,DROWSY,YES,146,2,0.014,0.245,0,14,11,0.275,48,6,3,0.054,1
TIRED,ENERGETIC,YES,146,2,0.014,0.053,0.0016,14,10,0.733,48,23,11,0.231,11
TIRED,EXHAUSTED,YES,146,11,0.075,0.895,0.0009,14,10,0.18,48,3,0,0,15
TIRED,FATIGUE,YES,146,5,0.034,0.766,0,14,10,0.207,48,6,2,0.032,11
TIRED,LAZY,YES,146,2,0.014,0.142,0.0019,14,9,0.254,48,19,14,0.429,9
TIRED,ME,YES,146,2,0.014,0.013,0.0008,14,11,0.747,48,12,10,0.678,1181
TIRED,NOW,YES,146,2,0.014,0,0,14,13,0.795,48,9,7,0.189,1314
TIRED,SLEEP,YES,146,70,0.479,0.092,0.0377,14,4,0.056,48,10,7,0.529,65
TIRED,WORK,YES,146,2,0.014,0,0.0002,14,11,0.302,48,19,17,0.7,760
TISSUE,BODY,YES,130,2,0.015,0,0.0035,12,8,0.778,41,31,30,0.715,276
TISSUE,CELL,YES,130,3,0.023,0,0,12,9,0.809,41,16,12,0.692,65
TISSUE,COLD,YES,130,3,0.023,0,0.0272,12,7,0.407,41,19,17,0.833,171
TISSUE,CRY,YES,130,3,0.023,0,0.0037,12,10,0.654,41,14,13,0.868,48
TISSUE,KLEENEX,YES,130,24,0.185,0.421,0.0025,12,4,0.084,41,12,4,0.112,1
TISSUE,NOSE,YES,130,17,0.131,0,0.0366,12,7,0.407,41,15,10,0.751,60
TISSUE,ORGAN,YES,130,2,0.015,0.028,0.0007,12,9,0.809,41,12,9,0.76,26
TISSUE,PAPER,YES,130,37,0.285,0,0.0037,12,10,0.392,41,15,14,0.855,157
TISSUE,SKIN,YES,130,4,0.031,0,0.0007,12,9,0.801,41,23,20,0.526,47
TISSUE,SNEEZE,YES,130,11,0.085,0.058,0.0223,12,8,0.438,41,13,8,0.498,3
TISSUE,SNOT,YES,130,4,0.031,0,0.0098,12,8,0.492,41,13,8,0.177,0
TISSUE,SOFT,YES,130,2,0.015,0,0.0122,12,9,0.631,41,19,17,0.839,61
TITLE,AUTHOR,YES,154,9,0.058,0,0,10,7,0.272,77,8,7,0.457,46
TITLE,BOOK,YES,154,58,0.377,0,0.0431,10,6,0.24,77,15,13,0.873,193
TITLE,CAR,YES,154,6,0.039,0,0.0027,10,7,0.655,77,25,22,0.798,274
TITLE,CHAMPION,YES,154,2,0.013,0,0,10,8,0.694,77,14,13,0.788,23
TITLE,DEED,NO,154,3,0.019,0,0,10,9,0.707,77,0,0,0,0
TITLE,HEADING,YES,154,4,0.026,0.267,0,10,7,0.545,77,17,12,0.425,32
TITLE,HOUSE,YES,154,2,0.013,0,0,10,8,0.694,77,13,13,0.841,591
TITLE,INSURANCE,YES,154,2,0.013,0,0,10,7,0.655,77,21,17,0.598,46
TITLE,NAME,YES,154,21,0.136,0.035,0.0003,10,7,0.545,77,20,17,0.655,294
TITLE,PAGE,YES,154,5,0.032,0,0.0147,10,7,0.298,77,10,9,0.405,66
TOAD,FROG,YES,145,120,0.828,0.263,0.0054,4,0,0,4,20,15,0.521,1
TOAD,SLIMY,YES,145,2,0.014,0,0.0224,4,1,0.062,4,16,13,0.676,0
TOAD,TOADSTOOL,NO,145,4,0.028,0,0,4,3,0.904,4,0,0,0,0
TOAD,WART,YES,145,9,0.062,0.03,0.0282,4,1,0.014,4,22,18,0.748,11
TOAST,BREAD,YES,165,60,0.364,0,0.0669,14,8,0.284,19,15,12,0.372,41
TOAST,BREAKFAST,YES,165,11,0.067,0,0,14,13,0.866,19,10,10,0.915,53
TOAST,BURN,YES,165,17,0.103,0,0.0007,14,11,0.8,19,20,19,0.669,15
TOAST,BUTTER,YES,165,27,0.164,0.024,0.1791,14,10,0.314,19,15,10,0.46,27
TOAST,COFFEE,YES,165,5,0.03,0,0,14,13,0.903,19,13,13,0.919,78
TOAST,COOK,YES,165,2,0.012,0,0.0054,14,9,0.758,19,15,13,0.608,47
TOAST,CRISP,YES,165,3,0.018,0,0,14,12,0.903,19,23,21,0.803,8
TOAST,DRY,YES,165,2,0.012,0,0.0003,14,12,0.903,19,18,18,0.842,68
TOAST,EAT,YES,165,3,0.018,0,0.0116,14,11,0.539,19,11,10,0.74,61
TOAST,JAM,YES,165,2,0.012,0.02,0.0168,14,10,0.314,19,12,8,0.278,6
TOAST,JELLY,YES,165,13,0.079,0.128,0.0123,14,10,0.314,19,11,7,0.425,3
TOAST,OVEN,YES,165,4,0.024,0.012,0.0058,14,10,0.867,19,9,7,0.732,7
TOAST,ROAST,YES,165,3,0.018,0,0,14,10,0.776,19,16,13,0.847,10
TOAST,TOASTER,YES,165,2,0.012,0.237,0,14,11,0.533,19,5,2,0.033,0
TOASTER,BAGEL,YES,152,3,0.02,0,0,5,3,0.717,0,12,9,0.372,0
TOASTER,BREAD,YES,152,30,0.197,0,0.0884,5,2,0.48,0,15,15,0.904,41
TOASTER,KITCHEN,YES,152,2,0.013,0,0,5,4,0.921,0,22,20,0.859,90
TOASTER,OVEN,YES,152,71,0.467,0,0.0057,5,3,0.23,0,9,8,0.95,7
TOASTER,TOAST,YES,152,36,0.237,0.012,0.0056,5,2,0.033,0,14,11,0.533,19
TOASTY,BREAD,YES,148,21,0.142,0,0.01,12,6,0.555,0,15,13,0.372,41
TOASTY,BREAKFAST,YES,148,2,0.014,0,0,12,8,0.717,0,10,9,0.868,53
TOASTY,BROWN,YES,148,10,0.068,0,0,12,9,0.69,0,20,20,0.875,176
TOASTY,BURNT,YES,148,11,0.074,0,0.0014,12,6,0.535,0,21,13,0.569,6
TOASTY,BUTTER,YES,148,3,0.02,0,0.0692,12,8,0.596,0,15,11,0.484,27
TOASTY,CRISP,YES,148,8,0.054,0,0.0039,12,8,0.63,0,23,21,0.796,8
TOASTY,FOOD,YES,148,4,0.027,0,0.008,12,6,0.501,0,18,16,0.717,147
TOASTY,HOT,YES,148,10,0.068,0,0.0766,12,7,0.339,0,8,7,0.859,130
TOASTY,MARSHMALLOW,NO,148,2,0.014,0,0,12,11,0.812,0,0,0,0,0
TOASTY,TOASTER,YES,148,2,0.014,0,0,12,8,0.602,0,5,4,0.737,0
TOASTY,TOASTY,YES,148,8,0.054,0.054,0,12,0,0,0,12,0,0,0
TOASTY,WARM,YES,148,41,0.277,0,0.0023,12,8,0.413,0,11,10,0.637,67
TOBACCO,BAD,YES,198,3,0.015,0,0.0046,14,10,0.564,19,9,8,0.876,142
TOBACCO,CANCER,YES,198,8,0.04,0,0.0367,14,11,0.256,19,13,12,0.865,25
TOBACCO,CHEW,YES,198,11,0.056,0.027,0.0008,14,11,0.851,19,12,7,0.802,2
TOBACCO,CIGAR,YES,198,8,0.04,0.02,0.0259,14,10,0.226,19,7,3,0.136,10
TOBACCO,CIGARETTE,YES,198,59,0.298,0.014,0.1184,14,8,0.171,19,11,5,0.19,25
TOBACCO,COMPANY,YES,198,7,0.035,0,0.0002,14,12,0.882,19,15,15,0.638,290
TOBACCO,DIP,YES,198,3,0.015,0.036,0,14,12,0.861,19,16,12,0.678,6
TOBACCO,DISGUST,YES,198,4,0.02,0,0.0002,14,11,0.887,19,20,16,0.64,1
TOBACCO,HOT,YES,198,2,0.01,0,0,14,13,0.922,19,8,8,0.893,130
TOBACCO,LEAF,YES,198,2,0.01,0,0,14,13,0.922,19,10,10,0.864,12
TOBACCO,PIPE,YES,198,6,0.03,0.041,0.0119,14,10,0.226,19,15,10,0.265,20
TOBACCO,ROAD,YES,198,3,0.015,0,0,14,13,0.917,19,24,22,0.829,197
TOBACCO,SMOKE,YES,198,67,0.338,0,0.1674,14,9,0.186,19,11,8,0.449,41
TOBACCO,SPIT,YES,198,2,0.01,0.02,0.0019,14,11,0.846,19,23,16,0.611,11
TODAY,HOT,YES,153,2,0.013,0,0,11,10,0.804,284,8,8,0.893,130
TODAY,NOW,YES,153,11,0.072,0,0.0016,11,8,0.719,284,9,6,0.168,1314
TODAY,PRESENT,YES,153,2,0.013,0,0.0019,11,8,0.719,284,12,10,0.745,377
TODAY,SCHOOL,YES,153,2,0.013,0,0.0015,11,8,0.751,284,22,20,0.805,492
TODAY,SHOW,YES,153,2,0.013,0,0.0046,11,7,0.765,284,24,21,0.733,287
TODAY,STRESS,YES,153,3,0.02,0,0,11,9,0.784,284,23,22,0.676,107
TODAY,TELEVISION,YES,153,2,0.013,0,0.0005,11,9,0.791,284,19,16,0.638,50
TODAY,TOMORROW,YES,153,77,0.503,0.527,0.0315,11,8,0.19,284,9,6,0.172,63
TODAY,TONIGHT,YES,153,2,0.013,0.046,0,11,6,0.105,284,17,11,0.458,38
TODAY,TUESDAY,YES,153,5,0.033,0,0,11,9,0.771,284,12,10,0.846,59
TODAY,YESTERDAY,YES,153,17,0.111,0.438,0.0827,11,8,0.19,284,9,6,0.138,83
TOE,BIG,YES,147,11,0.075,0,0.0121,7,5,0.238,9,9,9,0.939,360
TOE,FINGER,YES,147,5,0.034,0.091,0.0193,7,4,0.714,9,12,10,0.732,40
TOE,FOOT,YES,147,89,0.605,0.235,0.0032,7,4,0.224,9,9,7,0.662,70
TOE,HEEL,YES,147,2,0.014,0.196,0,7,5,0.299,9,10,7,0.408,9
TOE,JAM,YES,147,3,0.02,0,0,7,6,0.898,9,12,12,0.819,6
TOE,NAIL,YES,147,23,0.156,0,0.0002,7,4,0.714,9,6,5,0.782,6
TOE,STUB,YES,147,2,0.014,0.186,0,7,4,0.714,9,17,14,0.525,3
TOENAIL,CLIPPER,NO,150,30,0.2,0,0,15,10,0.545,0,0,0,0,0
TOENAIL,CUT,YES,150,8,0.053,0,0.0019,15,7,0.399,0,21,20,0.788,192
TOENAIL,FINGERNAIL,YES,150,12,0.08,0.121,0,15,5,0.299,0,15,10,0.406,2
TOENAIL,FOOT,YES,150,26,0.173,0,0.0526,15,8,0.285,0,9,8,0.682,70
