Cues,Targets,Target Normed?,Sample Size,# Subjects Producing Target ,Forward Strength,Backward Strength,Mediated Strength,Cue Set Size,# Cue Competitors,Cue Competitor Strength,Cue Frequency (K&F),Target Set Size,# Target Competitors,Target Competitor Strength,Target Frequency (K&F)
TART,TASTE,YES,148,3,0.02,0,0.0136,17,8,0.225,7,15,11,0.601,59
TART,TEA,YES,148,2,0.014,0,0,17,12,0.799,7,11,9,0.779,28
TART,WHORE,NO,148,2,0.014,0,0,17,14,0.833,7,0,0,0,0
TARZAN,APE,YES,151,18,0.119,0,0.0103,9,2,0.026,4,10,5,0.138,3
TARZAN,CHEETAH,NO,151,5,0.033,0,0,9,7,0.47,4,0,0,0,0
TARZAN,GORILLA,YES,151,2,0.013,0,0.022,9,3,0.066,4,14,8,0.171,0
TARZAN,JANE,NO,151,66,0.437,0,0,9,7,0.47,4,0,0,0,0
TARZAN,JUNGLE,YES,151,35,0.232,0.034,0.0033,9,3,0.066,4,21,19,0.685,20
TARZAN,MAN,YES,151,6,0.04,0,0.0098,9,4,0.271,4,9,9,0.851,1207
TARZAN,MONKEY,YES,151,6,0.04,0.021,0.0889,9,2,0.026,4,22,17,0.523,9
TARZAN,MOVIE,YES,151,2,0.013,0,0.0002,9,5,0.444,4,21,20,0.807,29
TARZAN,TELEVISION,YES,151,2,0.013,0,0.0005,9,5,0.444,4,19,16,0.795,50
TASK,ASSIGNMENT,YES,165,2,0.012,0.048,0.0004,11,5,0.291,60,13,9,0.619,62
TASK,BURDEN,YES,165,2,0.012,0.02,0,11,6,0.522,60,17,12,0.482,44
TASK,CHORE,YES,165,24,0.145,0.038,0.0009,11,3,0.079,60,17,10,0.157,7
TASK,DEED,NO,165,2,0.012,0,0,11,10,0.915,60,0,0,0,0
TASK,DO,YES,165,3,0.018,0.011,0.0042,11,5,0.473,60,20,15,0.267,1363
TASK,DUTY,YES,165,9,0.055,0.027,0.0026,11,4,0.103,60,15,8,0.306,61
TASK,FORCE,YES,165,9,0.055,0.012,0,11,9,0.86,60,17,14,0.653,230
TASK,HARD,YES,165,4,0.024,0,0.0328,11,6,0.522,60,10,9,0.839,202
TASK,JOB,YES,165,61,0.37,0.016,0.0558,11,4,0.109,60,7,5,0.252,238
TASK,MISSION,YES,165,2,0.012,0.027,0,11,6,0.466,60,18,14,0.596,78
TASK,WORK,YES,165,35,0.212,0,0.2777,11,2,0.067,60,19,17,0.53,760
TASTE,BITTER,YES,127,3,0.024,0.065,0.0059,15,12,0.758,59,9,6,0.179,53
TASTE,BUD,YES,127,10,0.079,0,0,15,14,0.813,59,10,10,0.864,9
TASTE,CHOCOLATE,YES,127,2,0.016,0.02,0.0041,15,11,0.694,59,17,14,0.698,9
TASTE,EAT,YES,127,15,0.118,0,0.0655,15,11,0.53,59,11,9,0.331,61
TASTE,FEEL,YES,127,2,0.016,0,0.0127,15,10,0.615,59,14,10,0.315,216
TASTE,FLAVOR,YES,127,3,0.024,0.5,0,15,12,0.781,59,9,6,0.343,18
TASTE,FOOD,YES,127,20,0.157,0,0.0508,15,10,0.364,59,18,13,0.278,147
TASTE,GOOD,YES,127,11,0.087,0,0.0076,15,9,0.403,59,8,8,0.89,807
TASTE,MOUTH,YES,127,3,0.024,0,0.0259,15,11,0.53,59,19,16,0.713,103
TASTE,SENSE,YES,127,2,0.016,0.035,0.0038,15,11,0.702,59,18,13,0.329,311
TASTE,SMELL,YES,127,18,0.142,0.181,0.0047,15,9,0.458,59,13,9,0.629,34
TASTE,SOUR,YES,127,5,0.039,0.02,0.0325,15,12,0.758,59,13,9,0.394,3
TASTE,SWEET,YES,127,9,0.071,0.014,0.0285,15,9,0.631,59,12,7,0.399,70
TASTE,TONGUE,YES,127,8,0.063,0.067,0.0027,15,12,0.687,59,13,9,0.374,35
TASTE,TOUCH,YES,127,2,0.016,0.012,0.0075,15,11,0.702,59,10,6,0.169,87
TASTY,BITTER,YES,150,2,0.013,0,0.0007,16,13,0.851,2,9,8,0.498,53
TASTY,CORNBEEF,YES,150,2,0.013,0,0,16,13,0.704,2,11,8,0.392,0
TASTY,DELICIOUS,YES,150,10,0.067,0.247,0.0073,16,9,0.164,2,12,4,0.056,4
TASTY,FLAVOR,YES,150,2,0.013,0,0,16,12,0.838,2,9,7,0.7,18
TASTY,FOOD,YES,150,27,0.18,0,0.0461,16,5,0.125,2,18,14,0.678,147
TASTY,GOOD,YES,150,51,0.34,0,0.0576,16,5,0.065,2,8,8,0.89,807
TASTY,ICE CREAM,YES,150,2,0.013,0,0.0067,16,8,0.438,2,17,12,0.741,45
TASTY,LIKE,YES,150,2,0.013,0,0,16,13,0.544,2,16,14,0.823,1290
TASTY,MEAL,YES,150,2,0.013,0,0.0031,16,13,0.704,2,6,5,0.418,30
TASTY,MORSEL,NO,150,3,0.02,0,0,16,15,0.897,2,0,0,0,0
TASTY,PIZZA,YES,150,2,0.013,0,0.0013,16,11,0.264,2,14,11,0.496,3
TASTY,SMELL,YES,150,3,0.02,0,0,16,12,0.357,2,13,11,0.832,34
TASTY,SPICY,YES,150,2,0.013,0,0,16,12,0.364,2,8,4,0.612,1
TASTY,SWEET,YES,150,5,0.033,0,0.0114,16,7,0.265,2,12,10,0.826,70
TASTY,TREAT,YES,150,8,0.053,0,0,16,11,0.458,2,19,14,0.604,26
TASTY,YUMMY,YES,150,15,0.1,0.093,0.0074,16,8,0.151,2,10,2,0.033,0
TAVERN,BAR,YES,147,57,0.388,0,0.0787,8,3,0.055,2,13,10,0.338,82
TAVERN,BEER,YES,147,17,0.116,0,0.1894,8,3,0.055,2,22,17,0.586,34
TAVERN,DRINK,YES,147,8,0.054,0,0.1959,8,3,0.055,2,20,18,0.696,82
TAVERN,GREEN,YES,147,2,0.014,0,0,8,7,0.872,2,17,16,0.752,116
TAVERN,HOUSE,YES,147,2,0.014,0,0,8,7,0.872,2,13,13,0.841,591
TAVERN,INN,YES,147,4,0.027,0.064,0,8,7,0.859,2,10,8,0.84,9
TAVERN,PUB,YES,147,38,0.259,0,0.0056,8,3,0.055,2,6,3,0.058,1
TAVERN,SALOON,YES,147,2,0.014,0,0,8,3,0.055,2,7,3,0.207,20
TAX,COLLECTOR,NO,156,6,0.038,0,0,16,10,0.68,197,0,0,0,0
TAX,DEDUCTIBLE,NO,156,2,0.013,0,0,16,10,0.68,197,0,0,0,0
TAX,EVASION,NO,156,3,0.019,0,0,16,10,0.68,197,0,0,0,0
TAX,FREE,YES,156,2,0.013,0,0,16,6,0.231,197,26,21,0.526,260
TAX,GOVERNMENT,YES,156,5,0.032,0,0,16,8,0.635,197,19,16,0.558,417
TAX,HIGH,YES,156,2,0.013,0,0,16,9,0.667,197,11,11,0.847,497
TAX,INCOME,YES,156,22,0.141,0.225,0,16,7,0.116,197,9,6,0.111,109
TAX,IRS,NO,156,5,0.032,0,0,16,10,0.68,197,0,0,0,0
TAX,LAW,YES,156,2,0.013,0,0.0023,16,8,0.635,197,14,13,0.797,299
TAX,LEVY,NO,156,2,0.013,0,0,16,10,0.68,197,0,0,0,0
TAX,MONEY,YES,156,64,0.41,0,0.0841,16,5,0.09,197,19,18,0.744,265
TAX,PAY,YES,156,2,0.013,0,0.002,16,6,0.103,197,13,12,0.48,172
TAX,SALE,YES,156,2,0.013,0,0.0002,16,7,0.244,197,17,15,0.698,44
TAX,SHELTER,YES,156,3,0.019,0,0,16,9,0.661,197,15,14,0.863,70
TAX,STATE,YES,156,2,0.013,0,0,16,9,0.667,197,15,14,0.782,808
TAX,UNCLE SAM,NO,156,2,0.013,0,0,16,10,0.68,197,0,0,0,0
TAXES,BAD,YES,148,4,0.027,0,0.004,15,8,0.556,45,9,9,0.887,142
TAXES,DEATH,YES,148,4,0.027,0,0,15,11,0.685,45,15,13,0.654,277
TAXES,DEBT,YES,148,2,0.014,0,0,15,9,0.252,45,9,7,0.643,13
TAXES,EXPENSE,YES,148,2,0.014,0,0,15,9,0.252,45,15,12,0.409,50
TAXES,FEDERAL,YES,148,2,0.014,0,0.0038,15,9,0.231,45,18,15,0.574,246
TAXES,FORMS,NO,148,2,0.014,0,0,15,12,0.712,45,0,0,0,0
TAXES,GOVERNMENT,YES,148,14,0.095,0,0.0039,15,9,0.576,45,19,15,0.565,417
TAXES,INCOME,YES,148,4,0.027,0,0,15,9,0.239,45,9,7,0.336,109
TAXES,IRS,NO,148,8,0.054,0,0,15,12,0.712,45,0,0,0,0
TAXES,MONEY,YES,148,55,0.372,0,0.0562,15,5,0.183,45,19,18,0.744,265
TAXES,PAIN,YES,148,2,0.014,0,0,15,11,0.698,45,13,12,0.782,88
TAXES,PAY,YES,148,11,0.074,0,0.0011,15,7,0.211,45,13,12,0.48,172
TAXES,POOR,YES,148,2,0.014,0,0,15,9,0.299,45,11,9,0.664,113
TAXES,REVENUE,NO,148,2,0.014,0,0,15,12,0.712,45,0,0,0,0
TAXES,SUCK,YES,148,3,0.02,0,0,15,10,0.665,45,21,15,0.529,5
TAXI,CAB,YES,147,79,0.537,0.386,0.0013,7,1,0.02,16,9,4,0.158,12
TAXI,CAR,YES,147,19,0.129,0,0.0975,7,1,0.095,16,25,20,0.754,274
TAXI,DRIVER,YES,147,14,0.095,0.043,0.0591,7,3,0.129,16,16,14,0.435,79
TAXI,FARE,NO,147,4,0.027,0,0,7,6,0.89,16,0,0,0,0
