BUSINESS
CEREAL
COLLEGE
DIAMOND
MARRIAGE
ACCIDENT
ALCOHOL
ANIMAL
ANSWER
BASEBALL
BEAUTIFUL
BORING
BRIGHT
BUILDING
BUTTER
CHANGE
CHEESE
CHEMISTRY
CHICKEN
CHILDREN
CHOCOLATE
CHRISTMAS
CHURCH
CIRCLE
CLOTHES
COMPUTER
COUNTRY
CRIMINAL
DANGER
DESTROY
DIFFERENT
DINNER
DOCTOR
ENGLISH
EXERCISE
FAMILY
FEELING
FINGER
FLOWER
FOOTBALL
FRIEND
GOVERNMENT
HOSPITAL
IMPORTANT
INSTRUMENT
KNOWLEDGE
LAWYER
LETTER
MACHINE
MEDICINE
MOTHER
MOUNTAIN
NEEDLE
NEWSPAPER
NUMBER
ORANGE
PERSON
PICTURE
POLICE
PRESIDENT
PRETTY
PRIEST
PROBLEM
QUESTION
RELIGION
SCARED
SCHOOL
SCIENCE
SECRET
SMOOTH
STREET
STRONG
STUPID
TEACHER
TELEVISION
TOGETHER
UNDERSTAND
VACATION
WEIGHT
YELLOW
